drugname,pt,A,drug_reports,reaction_reports,B,C,D,A_adj,B_adj,C_adj,D_adj,PRR,ROR,ChiSquare,ROR_Lower95,ROR_Upper95,Signal
GEMTUZUMAB OZOGAMICIN,GRANULICATELLA INFECTION,3,20,3,17,0,385258,3,17.0,0.5,385258,115577.55,135973.41176470587,57789.14998014405,6560.089891141959,2818371.243951932,🔴 Strong
SYMTUZA,CORONARY OSTIAL STENOSIS,3,20,3,17,0,385258,3,17.0,0.5,385258,115577.55,135973.41176470587,57789.14998014405,6560.089891141959,2818371.243951932,🔴 Strong
SYFOVRE,EYE COMPLICATION ASSOCIATED WITH DEVICE,28,94,29,66,1,385183,28,66.0,1.0,385183,114735.65957446808,163410.9696969697,19581.618784717703,21912.025952273365,1218652.4913518324,🔴 Strong
AFINITOR DISPERZ,GENITOURINARY TRACT NEOPLASM,4,4,7,0,3,385271,4,0.5,3.0,385271,114155.25925925926,1027389.3333333334,220157.1428393448,44014.33624503569,23981478.134096965,🔴 Strong
CHLORHEXIDINE GLUCONATE\CHLOROCRESOL\HEXAMIDINE DIISETHIONATE,EROSIVE PUSTULAR DERMATOSIS,4,4,7,0,3,385271,4,0.5,3.0,385271,114155.25925925926,1027389.3333333334,220157.1428393448,44014.33624503569,23981478.134096965,🔴 Strong
DICLOFENAC POTASSIUM\METAXALONE,GENITOURINARY TRACT NEOPLASM,4,4,7,0,3,385271,4,0.5,3.0,385271,114155.25925925926,1027389.3333333334,220157.1428393448,44014.33624503569,23981478.134096965,🔴 Strong
ILOPERIDONE,OPPOSITIONAL DEFIANT DISORDER,4,4,7,0,3,385271,4,0.5,3.0,385271,114155.25925925926,1027389.3333333334,220157.1428393448,44014.33624503569,23981478.134096965,🔴 Strong
BUTORPHANOL,BEZOLD-JARISCH REFLEX,3,3,6,0,3,385272,3,0.5,3.0,385272,110078.57142857142,770544.0,192637.49998832,31388.09258651028,18916028.56400309,🔴 Strong
AGOMELATINE,TRACHEAL INJURY,5,35,5,30,0,385243,5,30.0,0.5,385243,110069.57142857142,128414.33333333331,55035.42851580938,6863.170051704023,2402714.908885309,🔴 Strong
PARAGARD T 380A,FOREIGN BODY IN UROGENITAL TRACT,91,646,91,555,0,384632,91,555.0,0.5,384632,108363.95510835912,126131.57477477478,-873.6502825704292,7819.46215115541,2034561.181783311,🟢 Weak
SIMULECT,SPHINCTER OF ODDI DYSFUNCTION,7,25,8,18,1,385252,7,18.0,1.0,385252,107870.84,149820.22222222222,94387.19488528876,17527.6879468694,1280608.0901688533,🔴 Strong
VITAMIN B COMPLEX,URETHRAL CARUNCLE,4,29,4,25,0,385249,4,25.0,0.5,385249,106275.72413793104,123279.68,53138.34479178544,6349.878685095647,2393412.5759874266,🔴 Strong
AZOPT,NIKOLSKY'S SIGN TEST,3,22,3,19,0,385256,3,19.0,0.5,385256,105069.95454545454,121659.7894736842,52535.31816164369,5892.612126937302,2511806.9976335065,🔴 Strong
MIDODRINE,SUSPECTED SUICIDE ATTEMPT,76,96,79,20,3,385179,76,20.0,3.0,385179,101645.25,487893.4,-1671.7319290399446,142014.4666202759,1676167.0513472492,🟢 Weak
FLUDROCORTISONE,POLYGLANDULAR DISORDER,5,39,5,34,0,385239,5,34.0,0.5,385239,98779.35897435895,113305.58823529413,49390.25635368647,6071.275275112947,2114573.2557987506,🔴 Strong
